Name,Address,Contact no.,Email
Tamilnadu Physical Education And Sports University Chennai,"Address : Department Of Sports Technology, Tamil Nadu Physical  Education And Sports University, Melakottaiyur, Chengalpattu Taluk, Kancheepuram District, Chennai- 600048, India",44 - 27477906,ramkinr@yahoo.com
Uttaratech Polytechnic Roorkee,"Address : Dhanauri Roorkee, Dist : Haridwar, Uttarakhand State, India",1332 - 276786,afq.rke@gmail.com
Al-Kabir Polytechnic Jamshedpur,"Address : Kabirnagar, P.O. Kopali, Via Mango Jamshedpur, Dist : Seraikela-Kharsawan, Jharkhand State, India",6591 - 260414,principal@alkabir.in
Government Polytechnic Mahasamund,"Address : B.T.I. Road Mahasamunddistt. Mahasamundchhattisgarh, Chhattisgarh State, India",7723 - 224818,gpolymah@gmail.com
P.S.R. Rengasamy College Of Engineering For Women Sivakasi,"Address : Appayanaickenpattisevalpattisivakasi Sivakasi, Dist : Virudhunagar, Tamil Nadu State, India",4562 - 4562239085,contact@psrr.edu.in
Ranippettai Institute Of Technology Thenkadapanthangal,"Address : Thenkadapanthangal-632513, Wallajah Taluk, Vellore District Thenkadapanthangal, Tamil Nadu State, India",4172 - 230959,recchairman@gmail.com
Bharathidasan Engineering College Nattrampalli,"Address : K Bandarapalli Postnattrampallivellore Dist - 635 854 Nattrampalli, Dist : Vellore, Tamil Nadu State, India",4179 - 242988,principal519@yahoo.com
Mets Institute Of Engineering Nashik,"Address : Bhujbal Knowledge City, Adgaon Nashik, Maharashtra State, India",253 - 2532555925,vpwani@gmail.com
L.J. Polytechnic Ahmedabad,"Address : L.J. Polytechnic, Nr. Nagdev Mandir, Nr. Sarkhej-Sananad Cross Road, S.G. Highway Ahmedabad, Gujarat State, India",79 - 29096539,ljp@institutes.org
Nadar Saraswathi College Of Engineering & Technology Theni,"Address : Vadapudupatti, Annanji (Po) Theni, Tamil Nadu State, India",4546 - 263900,principal@nscet.org
Seikalathur Kamatchi Amman Polytechnic College,"Seikalathur college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4574 - 258071,principalskapc@yahoo.com
Om Institute Of Engineering And Technology Junagadh,"Address : Junagadh-Bhesan Road, At : Chokli, Junagadh, Gujarat State, India",285 - 2852680500,shreeomeducation@gmail.com
"Government Residence Women Polytechnic, Tasgaon","Address : Mane Rajuri Road, Tasgaon, Dist : Sangli, Maharashtra State, India",2346 - 250447,grwptasgaon.dte@gmail.com
N.B.K.R. Institute Of Science & Technology Vidyanagar,"Address : Vidyanagarkota Mandalspsr Nellore Dist.Andhra Pradesh Vidyanagar, Andhra Pradesh State, India",8624 - 8624228247,ist@nbkrist.org
Poornima College Of Engineering Jaipur,"Address : Isi-6, Riico Institutional Areasitapura, Goner Road Jaipur, Rajasthan State, India",141 - 2770790,info@poornima.org
"Government Polytechnic, Karad","Address : At Post - Vidyanagar, Karad., Dist : Satara, Maharashtra State, India",2164 - 2164271635,gpkarad.dte@gmail.com
"Adesh Polytechnic College, Muktsar","Address : Village Marh Malluferozepur Roadmuktsar Muktsar, Dist : Mukatsar, Punjab State, India",1633 - 253050,adeshapm@gmail.com
M E S Polytechnic Madhugiri,"Address : G B N Roadmadhugiri-572132tumkur-Dist Madhugiri, Dist : Tumkur, Karnataka State, India",8137 - 282707,principalmespolytechnic@gmail.com
Jayam Polytechnic College Dharmapuri,"Dharmapuri college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4342 - 235236,jayampoly678@gmail.com
P.A Polytechnic Bantwal,"Address : Nadupadav, Montepadav Post, Kairangala, Near Mangalore University Bantwal, Dist : Dakshina Kannada, Karnataka State, India",824 - 2284710,info@papt.edu.in
Cholan Institute Of Technology Kanchipuram,"Address : 16 Sembarambakkamkarai Post Kanchipuram, Tamil Nadu State, India",44 - 27277868,cholanpoly@yahoo.in
A. V. Parekh Technical Institute Rajkot,"Address : Dr. Yagnik Roadopp. Hemu Gadhavi Hall Rajkot, Gujarat State, India",281 - 2464530,avpti1948@yahoo.com
Amrita Polytechnic College Nagercoil,"Address : Sun Nagarerachakulam Nagercoil, Dist : Kanyakumari, Tamil Nadu State, India",4652 - 281467,principal_apc@amrita.edu.in
Government Polytechnic Vadnagar,"Address : B/H S.T. Workshopvadnagardist-Mehsana Vadnagar, Dist : Mehsana, Gujarat State, India",2761 - 222800,gp-vadnagar-dte@gujarat.gov.in
Government Polytechnic Porbandar,"Address : Nh-8bopp. Airportchhaya Porbandar, Gujarat State, India",286 - 2220553,gpporbandar@hotmail.com
Mrk Polytechnic College Kattumannarkoil,"Address : Mrk Polytechnic College, Nattarmangalam & Post, Kattumannar Koil Kattumannarkoil, Dist : Cuddalore, Tamil Nadu State, India",4144 - 262627,mrkptc2010@gmail.com
L.R. Institute Of Technology &management Deeghot,"Address : Vill - Deeghot, Palwal, Haryana State, India",129 - 1292261549,info@lritm.org
Maharaja Polytechnic Taraboi,"Address : At- Gamai, Village- Gamai, Bhubaneswar, Po-Gangapada, Via-Janla Ps-Chandaka, Tahasil- Jatni, Block-Jatni, Dist- Khurda, Odisha Taraboi, Dist : Khordha, India",6755 - 242440,info.mp09@gmail.com
Adsuls Technical Campus Chas,"Address : At-Chas, Chas-Nimblak Bypass Road, Ahmednagar, Maharashtra State, India",241 - 2570427,anirudhaadsul@yahoo.com
Sawai Madhopur College Of Engineering And Technology Sawaimadhopur,"Address : Vill-Thingla Sawaimadhopur, Dist : Sawai Madhopur, Rajasthan State, India",141 - 2295239,mjrpg@rediffmail.com
Indira Gandhi Polytechnic Belwandi,"Address : A/P:belwandi(Sugar), Tal:shrigonda, Dist:ahmednagar, State:maharashtra Belwandi(Sugar), Dist : Ahmednagar, Maharashtra State, India",2487 - 250237,0033principal@msbte.com
P.D. Memorial Polytechnic Bahadurgarh,"Address : Sector 3-A, Sarai Aurangabad, Bahadurgarh, Distt.Jhajjar (Haryana), Dist : Jhajjar, Haryana State, India",1276 - 221700,latherprabhu@gmail.com
The Christian Institute For Technical Education (Polytechnic College) Oddanchatram,"Oddanchatram college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4553 - 4553240202,cptcodc1@yahoo.co.in
Vedvyas Polytechnic Himatnagar,"Address : Samarth Campus, Opp. Sabar Dairy, Nh-8, Hajipur Himatnagar, Dist : Sabarkantha, Gujarat State, India",2772 - 2772226046,dec661owner@gtu.edu.in
"Padmashree Krutartha Acharya College Of Engineering, Bargarh","Address : At/Post.Chakarkenddist. Bargarhorissa -768028, Odisha State, India",6646 - 262053,pkace@rediffmail.com
College Of Advanced Technology Roorkee,"Address : Puhana-Iqbalpur Raodopp. Rit Collegevill- Nanhera Anantpurbhagwanpur Roorkee, Dist : Haridwar, Uttarakhand State, India",1332 - 272850,cat.rke@gmail.com
Imayam Polytechnic College Thuraiyur,"Address : Kannanur[po]thuraiyur [tk]trichy[dt]pin-621206 Thuraiyur, Dist : Tiruchirappalli, Tamil Nadu State, India",4327 - 239659,imayampolycollege@gmail.com
Global Group Of Institutes Amritsar,"Address : 11th Km Stone, Sohian Khurdamritsar-Batala Roadamritsar Amritsar, Punjab State, India",183 - 2783612,erakashdeep@hotmail.com
Srinivasa Diploma In Engineering & Technology Burja,"Address : Burja (V), Near Chellamnaiduvalasa (V), Seethanagaram (M), Vizianagaram Dist - 535542.Andhara Pradesh Burja, Andhra Pradesh State, India",8944 - 258135,srinivasapolytechnic2010@gmail.com
Saroj Mohan Institute Of Technology Guptipara,"Address : Village Roy Para, Po:guptipara, Ps, Balagarh Guptipara, Dist : Hooghly, West Bengal State, India",3213 - 262201,diploma.smit@gmail.com
M L Memorial Polytechnic College Killi Chahal,"Killi Chahal college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",1636 - 263031,mlmpolytechnic@gmail.com
Samrat Ashok Polytechnic Chalisgaon,"Address : Sr.No.410/1, Derabardi, Dhule Road, Chalisgaon Â€“ 424 101, Dist : Jalgaon, Maharashtra State, India",2589 - 229091,1484principal@msbte.com
K S Rangasamy Institute Of Technology Tiruchengode,"Address : K S R Kalvi Nagar Thokkavadi Potiruchengode Tknamakkal Dttamil Nadupin: 637 215 Tiruchengode, Dist : Namakkal, Tamil Nadu State, India",4288 - 274741,ksrit328@gmail.com
K.V.T. Polytechnic Chickballapur,"Address : C.V.V Campus, Chickballapur., Dist : Chikaballapur, Karnataka State, India",8156 - 8156263087,kvtpolytechnic@kvtp.org
Baba Isher Singh Polytechnic College Kot-Ise-Khan,"Address : Dharamkot Road Kot-Ise-Khan, Dist : Moga, Punjab State, India",1682 - 1682240059,principalbispoly@yahoo.com
Government Polytechnic Kanker,"Address : Nh-30 Road, Nathiya Nawagaon, Kanker (C.G.) -494336, Chhattisgarh State, India",7868 - 222081,govtpolykanker@gmail.com
Icl Institute Of Technical Education,"Address : Village-Sountli, Po- Shahzadpur, Distt.- Ambala, Haryana, India",1734 - 278677,president@iclhitech.com
K. D. K. College Of Engineering Nagpur,"Address : Great Nag Road, Nandanvan, Nagpur-440009, Maharashtra State, India",712 - 2711400,am1_badar@yahoo.com
Government Polytechnic College Janjgir,"Address : Khokhara Bhanta, Janjgir, Dist : Janjgir-Champa, Chhattisgarh State, India",7817 - 7817222456,principal.068.csvtu@gmail.com
A.V.N. Polytechnic Mudinepalli,"Address : Annavaram Road Mudinepalli, Dist : Krishna, Andhra Pradesh State, India",8674 - 233644,avnpoly@yahoo.in
Nadgir Polytechnic Bangalore,"Address : No 53 3a Main Road W C R Near Modi Eye Hospital Rajajinagar Bangalore, Dist : Bangalore Urban, Karnataka State, India",80 - 23387333,nadgir.institute@gmail.com
Falakata Polytechnic,"Address : Baganbari Falakata, Dist : Jalpaiguri, West Bengal State, India",3563 - 3563260642,falakatapoly@gmail.com
Shri Sitheswarar Polytechnic College Arcot,"Address : Kalavai Roadpoongoduarcot - 632503vellore District Arcot, Dist : Vellore, Tamil Nadu State, India",4172 - 235388,srisitheswarar@yahoo.com
Dr. S.& S.S. Ghandhy College Of Engineering & Technology Surat,"Address : Majura Gate, Ring Road Surat, Gujarat State, India",261 - 2655799,ssgp-surat-dte@gujarat.gov.in
Rasiklal M. Dhariwal Institute Of Technology Pune,"Address : Fattechand Marg, Chinchwadgaon Pune, Maharashtra State, India",20 - 27353516,rmdiot@gmail.com
Longowal Polytechnic & Pharmacy College Dera Bassi,"Address : Govt.College Road Shakti Nagar Dera Bassi, Dist : S.A.S Nagar, Punjab State, India",1762 - 281938,principallppc@gmail.com
Samrat Ashok Technological Institute Polytechnic College Vidisha,"Address : Civil Lines Vidisha, Madhya Pradesh State, India",7952 - 250373,sati.poly@hotmail.com
Guru Raagavindra Polytechnic College Gudiyattam,"Address : Veppoor Village, Katpadi Taluk Gudiyattam, Dist : Vellore, Tamil Nadu State, India",4171 - 244930,raagavindra@gmail.com
Doaba Polytechnic College Ghataur,"Address : Village-Ghataur, Po-Allapur, Tehsil-Kharar, Distt-Mohali (Punjab) Ghataur, Dist : Mohali, Punjab State, India",160 - 5002901,doaba.dpc2011@gmail.com
Kilachand Devchand Polytechnic Patan,"Address : Near Hemchandracharya North Gujarat University, Opp. T. B. Hospital, University Road Patan, India",2766 - 233331,principalkdp631@gmail.com
"Vilasrao Deshmukh Foundations, Vdf School Of Polytechnic Latur","Address : Educity, Additional Midc, Plot No.-165 A, Near Manjara Sugar Latur, Maharashtra State, India",2382 - 267736,info.polytechnic@vdf.in
Matrusri Engineering College Hyderabad,"Address : 16-1-486, Saidabad, Hyderabad-59, Telangana State, India",40 - 24074764,principal@matrusri.edu.in
Valliammai Polytechnic College Kattankulathur,"Address : Srm Nagarpotherikattankulathur (Po) Kattankulathur, Dist : Kanchipuram, Tamil Nadu State, India",44 - 27455741,vpt307@gmail.com
Chhotu Ram Rural Institute Of Technology Kanjhawala,"Address : Kanjhawala, (Ghevra), Delhi - 81 Kanjhawala, Dist : North West Delhi, India",110081 - 25953892,crrit.principal@gmail.com
Nimra College Of Engineering And Technology Vijayawada,"Vijayawada college is provider of Graduate Degree, Post Graduate Engineering And Technology courses. Get institute course list, fees and contact. .. more details",866 - 2882010,nimracolleges@yahoo.co.in
B.L.Patil Polytechnic Khopoli,"Address : Near Old Police Station Khopoli Tal Khalapur, Dist : Raigad, Maharashtra State, India",2192 - 266157,ktspkpk@rediffmail.com
Dhanalakshmi Srinivasan Polytechnic College Perambalur,"Address : Thuraiyur Roadperambalur Perambalur, Tamil Nadu State, India",4328 - 220076,office_551dspc@yahoo.co.in
Pimpri Chinchwad Polytechnic Pune,"Address : Sector 26, Pradhikaran, Nigdi, Pune, 411044, Maharashtra State, India",20 - 27658797,principal@pcpolytechnic.com
Nanjappa Polytechnic College Coimbatore,"Address : Palanisame Ravi Nagar, Karumathampatti Coimbatore, Tamil Nadu State, India",421 - 2910990,nanjappapolytechnic@yahoo.in
Balasore School Of Engineering,"Address : At-Srikanthapur(Near Ranipatna)po/Dist-Balasore Balasore, Odisha State, India",6782 - 241133,principalbse@yahoo.co.in
Sanketika Institute Of Technology And Management Visakhapatnam,"Address : Sanketika Institute Of Technology And Management Technical  Educational Complex, Beside Y.S.R. Aca-Vdca Cricket Stadium, Ratnagiri Housing Board Colony, P.M.Palem, Visakhapatnam-530041andhra Pradesh., Dist : Vishakhapatnam, Andhra Pradesh State, India",891 - 6453202,sitam.sskiran@gmail.com
Rajmati Parichand Bothra Memorial Jiaganj College Of Engineering & Technology (Polytechnic),"Address : At-Hatibagan, P.O+p.S-Jiaganj Jiaganj, Dist : Murshidabad, West Bengal State, India",3483 - 256030,principal@jcet.in
Government Polytechnic College Ashoknagar,"Address : Vidisha Road Ashok Nagar, Madhya Pradesh State, India",7543 - 222855,ashoknagar011@gmail.com
Erode Kongu College Of Polytechnic Vellode,"Address : Veleva Gardenchennimalai Road Gnanipalayam (Post) Vellode, Dist : Erode, Tamil Nadu State, India",4294 - 238686,erodekongu731@gmail.com
Excel Polytechnic College Pallakapalayam,"Address : Kuttikinathoor Road, Pallakapalayam, Sankari West Post, Tiruchengode Taluk, Dist : Namakkal, Tamil Nadu State, India",4288 - 299499,aknatesan@yahoo.com
"Aman Bhalla Polytechnic College, Kotli","Address : Jammu-Amritsar Highway, Near Canal Side, Kotli Po: Jhakolari, Pathankot, Dist : Gurdaspur, Punjab State, India",186 - 5083009,abpolyprincipal@gmail.com
Government Polytechnic For Girls Ahmedabad,"Address : Opp. Physical Research Laboratory, Nr. Atiranavrangpura Ahmedabad, Gujarat State, India",79 - 26306273,ggp_abad_dte@gujarat.gov.in
Suddhananda Residential Polytechnic Bhubaneswar,"Address : At-Nachhipur, Po-Bhatapatna, Bhubaneswar, Dist-Khordha, Dist : Khordha, Odisha State, India",671 - 2856161,principalsrp@gmail.com
Al- Huda Polytechnic Nellore,"Address : Yalamavaridinnevia Childerns Park Roadnear Chinthareddy Palemnellore Nellore, Andhra Pradesh State, India",861 - 2320637,principalalhuda089@gmail.com
Shaheed Udham Singh Polytechnic College Mohali,"Address : Village-Tangori, P.O-Motemajra SAS Nagar (Mohali), Dist : Mohali, Punjab State, India",1762 - 306145,principalsuspc@yahoo.com
Mayurbhanj School Of Engineering Baripada,"Baripada college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",6792 - 278148,msebaripada@gmail.com
Hyderabad Karnataka Education Societys Polytechnic Raichur,"Address : Yeramaras Camp Raichur, Karnataka State, India",8532 - 251110,hkesrcr@gmail.com
International Polytechnic For Women New Delhi,"Address : Campus-171-A, Main Khirki Road, Malviya Nagarcorp. Office-A-3, Ring Road, South Ext-I Delhi, Dist : South Delhi, India",11 - 24624049,intpoly@yahoo.com
Central Institute Of Plastics Engineering & Technology CIPET Mysore,"Address : #437/A, Hebbal Indl Area, Mysore - 570 016 Karnataka, India",821 - 2510618,cipetmys1@gmail.com
Srinivasa Institute Of Technology & Science Kadapa,"Address : Chennai- Hyderabad Bypass Road, Ukkayapalli (V)kadapa Kadapa, Dist : Ysr District, Andhra Pradesh State, India",8562 - 221001,srts99@gmail.com
Institute Of Engineering And Rural Technology Allahabad,"Address : 26- Chatham Lines (Near Prayag Railway Station) Allahabad, Uttar Pradesh State, India",532 - 2544810,vimal.mishra.upte@gmail.com
Park Amc Polytechnic College Karumathampatti,"Address : Prema Ravi Nagar Karumathampatti, Dist : Coimbatore, Tamil Nadu State, India",421 - 2911194,parkamc.college@gmail.com
Sakthi Polytechnic College Bhavani,"Address : Nachimuthupuramsakthi Nagarappakudal Bhavani, Dist : Erode, Tamil Nadu State, India",914256 - 246254,office@sakthitech.net
Ayyanadar Janakiammal Polytechnic College Sivakasi,"Sivakasi college is provider of Diploma Engineering And Technology courses. Get institute course list, fees and contact. .. more details",4562 - 236062,anjaptsvk@gmail.com
Polytechnic College Vadakkangulam Azhaganeri,"Address : Raja Nagar, Vadakkangulam, Vadakkangulam Post. Azhaganeri, Dist : Tirunelveli, Tamil Nadu State, India",4637 - 232066,rajaschairman@gmail.com
"Government Polytechnic, Dahod","Address : Zalod Road, Dahod-389151, Gujarat State, India",2673 - 266681,polydahod@yahoo.com
Government Polytechnic For Women Chandigarh,"Address : Govt. Polytechnic For Women, Sec 10-D, Chandigarh, India",172 - 2740476,pplgpw@gmail.com
Sheth Shri Otarmal Sheshmal Parmar College Of Diploma Engineering Nagothane,"Address : S.No.349/350 Village, Nagothane, Tal. Roha, Dist. Raigad., Maharashtra State, India",2194 - 222522,principalssosp@gmail.com
Sree Sastha Institute Of Engineering And Technology Chembarambakkam,"Address : Chennai - Bangalore Highway Chembarambakkam Chennai - 600123., Dist : Thiruvallur, Tamil Nadu State, India",44 - 26810111,ceo@ssiet.in
Musiri Institute Of Technology,"Address : Annai Nagar, M.Pudupatti(Po), Thuraiyur Main Road, Musiri - (Tk)trichy - (Dt), Dist : Tiruchirappalli, Tamil Nadu State, India",4326 - 7373455026,mitpolytech@gmail.com
